Name,Unit,Expression,Value,Comments,Favorite
base_thick,mm,5 mm,5.00, base thickeness,false
d_small_hole,mm,3.5 mm,3.50,holes for board,false
d_medium_hole,mm,4.5 mm,4.50,hole for pillar,false
d_big_holes,mm,18 mm,18.00,holes for big cables,false
d_motor_external_hole,mm,7 mm,7.00,external where you attach the motors,false
b_motore_ext,mm,46 mm,46.00,"base of the moto, or external diameter for soppert
",false
b_motore_int,mm,38 mm,38.00,"base of the moto, or internal diameter for soppert
",false
distance_center_motor,mm,9.5 mm,9.50,"distance from the end of motor supprt and the start of th eholes for motor
",false
side_square,mm,22 mm,22.00,support for bearing,false
d_minus_bearing,mm,6 mm,6.00,,false
d_medium_bearing,mm,12 mm,12.00,,false
d_bearing,mm,19 mm,19.00,,false
d_pillar,mm,8.4 mm,8.40,,false
Length,mm,215 mm,215.00,,false
Height,mm,190 mm,190.00,,false
d_bearing_Copy,mm,19 mm,19.00,,false
b_motore_ext_Copy,mm,46 mm,46.00,"base of the moto, or external diameter for soppert
",false
d_pillar_Copy,mm,8.4 mm,8.40,,false
base_thick_Copy,mm,5 mm,5.00, base thickeness,false
Height_Copy,mm,190 mm,190.00,,false
d_medium_hole_Copy,mm,4.5 mm,4.50,hole for pillar,false
d_minus_bearing_Copy,mm,6 mm,6.00,,false
side_square_Copy,mm,22 mm,22.00,support for bearing,false
d_motor_external_hole_Copy,mm,7 mm,7.00,external where you attach the motors,false
d_small_hole_Copy,mm,3.5 mm,3.50,holes for board,false
distance_center_motor_Copy,mm,9.5 mm,9.50,"distance from the end of motor supprt and the start of th eholes for motor
",false
d_big_holes_Copy,mm,18 mm,18.00,holes for big cables,false
d_medium_bearing_Copy,mm,12 mm,12.00,,false
b_motore_int_Copy,mm,38 mm,38.00,"base of the moto, or internal diameter for soppert
",false
Length_Copy,mm,215 mm,215.00,,false
d_bearing_Copy_1,mm,19 mm,19.00,,false
Height_Copy_Copy,mm,190 mm,190.00,,false
d_medium_hole_Copy_1,mm,4.5 mm,4.50,hole for pillar,false
d_medium_hole_Copy_Copy,mm,4.5 mm,4.50,hole for pillar,false
side_square_Copy_1,mm,22 mm,22.00,support for bearing,false
d_small_hole_Copy_1,mm,3.5 mm,3.50,holes for board,false
d_medium_bearing_Copy_Copy,mm,12 mm,12.00,,false
b_motore_int_Copy_1,mm,38 mm,38.00,"base of the moto, or internal diameter for soppert
",false
d_big_holes_Copy_1,mm,18 mm,18.00,holes for big cables,false
b_motore_ext_Copy_Copy,mm,46 mm,46.00,"base of the moto, or external diameter for soppert
",false
d_small_hole_Copy_Copy,mm,3.5 mm,3.50,holes for board,false
distance_center_motor_Copy_Copy,mm,9.5 mm,9.50,"distance from the end of motor supprt and the start of th eholes for motor
",false
d_pillar_Copy_Copy,mm,8.4 mm,8.40,,false
Length_Copy_1,mm,215 mm,215.00,,false
b_motore_ext_Copy_1,mm,46 mm,46.00,"base of the moto, or external diameter for soppert
",false
Length_Copy_Copy,mm,215 mm,215.00,,false
d_bearing_Copy_Copy,mm,19 mm,19.00,,false
d_motor_external_hole_Copy_Copy,mm,7 mm,7.00,external where you attach the motors,false
d_motor_external_hole_Copy_1,mm,7 mm,7.00,external where you attach the motors,false
base_thick_Copy_Copy,mm,5 mm,5.00, base thickeness,false
d_pillar_Copy_1,mm,8.4 mm,8.40,,false
b_motore_int_Copy_Copy,mm,38 mm,38.00,"base of the moto, or internal diameter for soppert
",false
distance_center_motor_Copy_1,mm,9.5 mm,9.50,"distance from the end of motor supprt and the start of th eholes for motor
",false
side_square_Copy_Copy,mm,22 mm,22.00,support for bearing,false
d_big_holes_Copy_Copy,mm,18 mm,18.00,holes for big cables,false
d_medium_bearing_Copy_1,mm,12 mm,12.00,,false
base_thick_Copy_1,mm,5 mm,5.00, base thickeness,false
d_minus_bearing_Copy_1,mm,6 mm,6.00,,false
Height_Copy_1,mm,190 mm,190.00,,false
d_minus_bearing_Copy_Copy,mm,6 mm,6.00,,false
